axis,subset,kind,method_x,method_y,n,pearson,pearson_lo,pearson_hi,spearman,spearman_lo,spearman_hi,P_bigfam_gt
dist_cum,>=0.00,continuous,ldak_step,snp_h2,255,0.6963315365556559,0.5714598514733656,0.8153683259153739,0.7417829953066416,0.6452608307248251,0.8276905114555145,0.9524
dist_cum,>=0.00,continuous,ldak_const,snp_h2,255,0.7825855598924478,0.6759736662304751,0.8797033650804946,0.8240842680887689,0.7445948156566617,0.8921812301689219,0.6283
dist_cum,>=0.00,continuous,bigfam,snp_h2,255,0.8034166959328449,0.7507339283851167,0.8517889120061011,0.799819379551553,0.7423155501345676,0.8501318305466355,
dist_cum,>=0.00,continuous,bigfam_v1,snp_h2,255,0.5667146221206782,0.4535015114230538,0.6728790223264063,0.5855459377378079,0.4889425967401764,0.673520316963011,1.0
dist_cum,>=0.00,binary,falconer,snp_h2,85,0.49358803241902893,0.24191950861159603,0.6948443172056341,0.511686535079148,0.31750469165950884,0.6714326126471108,0.0983
dist_cum,>=0.00,binary,herg,snp_h2,85,0.5420086452757064,0.32262094023492005,0.712195187643128,0.539906195036154,0.35286194525328796,0.6974515930793557,0.0539
dist_cum,>=0.00,binary,sem_step,snp_h2,85,0.10762714836394578,-0.12648663103328822,0.3503202457578011,0.16103185460230604,-0.05862662417177974,0.3664690285880318,0.8562
dist_cum,>=0.00,binary,sem_const,snp_h2,85,0.4609134338117529,0.1628425341627722,0.7324148264950016,0.5034786007426226,0.30776352620268327,0.6762909312577151,0.1768
dist_cum,>=0.00,binary,ldak_step,snp_h2,85,0.23111994410920852,0.010222257524867693,0.44606547263952073,0.27326558530388895,0.05749129802990184,0.473769442109877,0.6715
dist_cum,>=0.00,binary,ldak_const,snp_h2,85,0.5422746128577638,0.27386071895745506,0.739937820067952,0.48850150724399344,0.2898620366438097,0.6632060703788217,0.0745
dist_cum,>=0.00,binary,bigfam,snp_h2,85,0.3181790023181956,0.01745926388478379,0.5479724138518993,0.28904754323555715,0.06075470637218849,0.503490044350509,
dist_cum,>=0.05,both,falconer,snp_h2,260,0.5337097779240351,0.35163033484858724,0.7655863536290614,0.7521271380623938,0.6591874121922942,0.8343240121226723,0.99
dist_cum,>=0.05,both,herg,snp_h2,260,0.49656035386725017,0.3205303154023075,0.7220892228149657,0.727755003946521,0.6352972931735318,0.8098564269454775,0.9978
dist_cum,>=0.05,both,sem_step,snp_h2,260,0.21704650755425406,0.06021696059440076,0.4688447177164228,0.5614231171535142,0.45182826338387533,0.6652949494443836,1.0
dist_cum,>=0.05,both,sem_const,snp_h2,260,0.7362012576078173,0.6181420381422709,0.8331610086130822,0.7697716987884173,0.6942681208593283,0.8361457556992073,0.9384
dist_cum,>=0.05,both,ldak_step,snp_h2,260,0.530661588453945,0.4082223402157265,0.651979371750552,0.577477237129679,0.46718927328541526,0.6815431733294216,1.0
dist_cum,>=0.05,both,ldak_const,snp_h2,260,0.7025171755020014,0.5941912186223632,0.8055736467449428,0.7490448164752439,0.6594692109445847,0.8283289274400407,0.9868
dist_cum,>=0.05,both,bigfam,snp_h2,260,0.8094081721477475,0.7674392214226522,0.8479554692266211,0.7713756468004944,0.7178794101885287,0.8188707902694256,
